"NoW March 27, 2019",0
"Dead Cells has passed 1 million sales, and Switch leads the way on consoles ",http://www.gamasutra.com/view/news/339279/Dead_Cells_has_passed_1_million_sales_and_Switch_leads_the_way_on_consoles.php
Nintendo's Labo VR Kit Is Its Wildest Cardboard Adventure Yet,https://gizmodo.com/nintendos-labo-vr-kit-is-its-wildest-cardboard-adventur-1833465840
This Might Be the Least Fun Switch Accessory,https://gizmodo.com/this-might-be-the-least-fun-switch-accessory-1833574140
Oculus Founder: Rift S Suitable for Only About 70% of Population Due to IPD,https://www.roadtovr.com/palmer-luckey-oculus-founder-rift-s-optimal-70-population-ipd/
eSports and Copyright between choreographies and UGC ,https://www.lexology.com/library/detail.aspx?g=7eea0a56-2f97-4145-939b-e702034eda51
GameStop moving into esports with new events venue ,http://www.gamasutra.com/view/news/339546/GameStop_moving_into_esports_with_new_events_venue.php
"GameStop partners with three esports organisations: Games retailer signs deals with Houston Outlaws, Envy Gaming, and OpTic Gaming",https://www.gamesindustry.biz/articles/2019-03-27-gamestop-announces-three-esports-partnerships
Comcast plans to build a $50 million esports arena in Philadelphia ,http://www.gamasutra.com/view/news/339433/Comcast_plans_to_build_a_50_million_esports_arena_in_Philadelphia.php
SuperData: Apex Legends' $92m launch month the best ever for a free-to-play game,http://www.gamesindustry.biz/articles/2019-03-22-superdata-apex-legends-had-best-ever-launch-month-for-a-free-to-play-game
Mobile strength pushed Tencent past $19bn games revenue in 2018,http://www.gamesindustry.biz/articles/2019-03-22-mobile-strength-pushed-tencent-past-usd19bn-games-revenue-in-2018
WarDucks raises $3.8 million to expand studio and create location-based AR game ,http://www.gamasutra.com/view/news/339133/WarDucks_raises_38_million_to_expand_studio_and_create_locationbased_AR_game.php
WarDucks raises €3.3 million for location-based AR mobile game,http://www.gamesindustry.biz/articles/2019-03-14-warducks-raises-3-3-million-for-location-based-ar-mobile-game
"I played 11 Assassin’s Creed games in 11 years, and Odyssey made them all worth it",https://arstechnica.com/gaming/2019/03/i-played-11-assassins-creed-games-in-11-years-and-odyssey-made-them-all-worth-it/
UK Charts: Sekiro Shadows Die Twice is the seventh new No.1 of the year - Activision and From Software title narrowly beats The Division 2,https://www.gamesindustry.biz/articles/2019-03-26-uk-charts-sekiro-shadows-die-twice-is-the-seventh-new-no-1-of-the-year
Kabam acquires Montreal-based mobile studio Riposte Games & Co ,http://www.gamasutra.com/view/news/339411/Kabam_acquires_Montrealbased_mobile_studio_Riposte_Games__Co.php
GAME revenue dips but profits jump on 'relentless' cost savings,http://www.gamesindustry.biz/articles/2019-03-21-game-revenue-dips-but-profits-jump-on-relentless-cost-savings
"Indies clean up at GDC Awards 2019: God of War takes home yet another Game of the Year gong, and Return of the Obra Dinn wins $33,000 in IGF prizes",https://www.gamesindustry.biz/articles/2019-03-21-indies-clean-up-at-gdc-awards-2019
"GDC 2019 attendance sets new record at 29,000",https://www.gamesindustry.biz/articles/2019-03-26-gdc-2019-attendance-sets-new-record-at-29-000
GDC celebrates record-breaking attendance and locks in 2020 dates! ,http://www.gamasutra.com/view/news/339292/GDC_celebrates_recordbreaking_attendance_and_locks_in_2020_dates.php
Blog: The best slides I saw at GDC 2019 ,http://www.gamasutra.com/blogs/ChrisZukowski/20190325/339236/The_best_slides_I_saw_at_GDC_2019.php
"GDC 2019, as told through livetweets ",http://www.gamasutra.com/view/news/339540/GDC_2019_as_told_through_livetweets.php
Video Game Deep Cuts: The Game Developers Conference Aftermath ,http://www.gamasutra.com/blogs/SimonCarless/20190324/339241/Video_Game_Deep_Cuts_The_Game_Developers_Conference_Aftermath.php
A dev trained robots to generate “garbage” slot machine games—and made $50K,https://arstechnica.com/gaming/2019/03/a-dev-trained-robots-to-generate-garbage-slot-machine-games-and-made-50k/
Intel and Spirit AI are working on machine learning-powered voice chat moderation ,http://www.gamasutra.com/view/news/339533/Intel_and_Spirit_AI_are_working_on_machine_learningpowered_voice_chat_moderation.php
Video: Systemic AI design in Just Cause 3 ,http://www.gamasutra.com/view/news/339551/Video_Systemic_AI_design_in_Just_Cause_3.php
