"NoW March 6, 2019",,0
"To Fight Pedophiles, YouTube Disables Comments On Videos Featuring Kids",,https://futurism.com/the-byte/youtube-comments-disabled-videos-kids
YouTube will disable comments on most videos of kids because of pedophiles,,https://arstechnica.com/gadgets/2019/02/youtube-will-fight-predatory-behavior-by-disabling-comments-on-videos-of-minors/
YouTube Disables Comments On Tens Of Millions Of Videos Featuring Kids In Effort To Prevent Adpocalypse 2.0,,https://www.tubefilter.com/2019/02/28/youtube-disables-comments-videos-minors-adpocalypse/
YouTube Bans Comments on Videos With Minors,,https://www.bloomberg.com/news/videos/2019-02-28/youtube-bans-comments-on-videos-with-minors-video
YouTube is demonetizing all videos about Momo,,https://www.theverge.com/2019/3/1/18244890/momo-youtube-news-hoax-demonetization-comments-kids
Susan Wojcicki Says YouTube’s Mass Disabling Of Comments On Videos Of Kids Is “A Trade-Off” For Young Creators,,https://www.tubefilter.com/2019/03/01/susan-wojcicki-youtube-kids-comments-disabling/
YouTube CEO Defends Its Efforts To Reduce Violent Content,,https://www.wired.com/story/youtube-ceo-defends-efforts-reduce-violent-content/
"YouTube Is Demonetizing Every Video About The ‘Momo Challenge,’ Which Isn’t Actually A Thing",,https://www.tubefilter.com/2019/03/01/youtube-demonetizing-momo-challenge-videos-debunked/
That Creepy Momo Sculpture Has Been Destroyed,,https://kotaku.com/that-creepy-momo-sculpture-has-been-destroyed-1833030852
"YouTube TV Crosses 1 Million Subscriber Mark, Hulu With Live TV Nears 2 Million ",,https://www.tubefilter.com/2019/03/01/youtube-tv-hulu-with-live-tv-subscriber-count-2019/
Michael Jackson Estate Turns To YouTube To Shift Focus From HBO’s ‘Leaving Neverland’,,https://www.tubefilter.com/2019/03/04/michael-jackson-youtube-leaving-neverland/
"Marzia Bisgonin Says She “Feels Good” About Quitting YouTube, After Adjustment Period",,https://www.tubefilter.com/2019/03/04/marzia-bisgonon-feels-good-about-quitting-youtube/
"YouTube May Never Be 100% Safe For Advertisers, Says Company’s U.K. Marketing Director",,https://www.tubefilter.com/2019/03/06/youtube-brand-safety-advertisers-adpocalypse-nishma-robb/
YouTube CEO Susan Wojcicki Agrees To “Tea Session” With Shane Dawson Over ‘Trending’ Tab Concerns,,https://www.tubefilter.com/2019/03/05/susan-wojcicki-shane-dawson-trending/
Comedy Central Launches YouTube Channel To Host Slate Of Original Digital Programming,,https://www.tubefilter.com/2019/03/06/comedy-central-youtube-digital-originals/
EU Set to Make Sweeping Copyright Changes,,https://www.lexology.com/library/detail.aspx?g=d96d582d-1f21-4ee5-852a-6db6c3425845
The politics behind the proposed copyright directive (Andres Guadamuz),,https://www.technollama.co.uk/the-politics-behind-the-proposed-copyright-directive
Supporters Of Article 13 Briefly Tried To Move Parliament Vote Up Before Scheduled Protests; Now Deny Plan That They Clearly Had,,https://www.techdirt.com/articles/20190304/15233741731/supporters-article-13-briefly-tried-to-move-parliament-vote-up-before-scheduled-protests-now-deny-plan-that-they-clearly-had.shtml
Why Does MEP Axel Voss Keep Lying About Article 13?,,https://www.techdirt.com/articles/20190301/21573541712/why-does-mep-axel-voss-keep-lying-about-article-13.shtml
Article 13 Supporters Find Smoking Gun That Isn't: Majority Of Tweets Criticizing Copyright Directive Are Not Coming From DC,,https://www.techdirt.com/articles/20190304/16142841732/article-13-supporters-find-smoking-gun-that-isnt-majority-tweets-criticizing-copyright-directive-are-not-coming-dc.shtml
Clash Of EU's Poorly Thought Out Laws: German Data Protection Commissioner Warns That Article 13 Might Violate GDPR,,https://www.techdirt.com/articles/20190301/13450841706/clash-eus-poorly-thought-out-laws-german-data-protection-commissioner-warns-that-article-13-might-violate-gdpr.shtml
"EU officials say Facebook, Twitter, Google failing in “fake news” battle",,https://arstechnica.com/information-technology/2019/02/eu-officials-say-facebook-twitter-google-failing-in-fake-news-battle/
The Equustek Effect: How One Case Has Sparked Canada’s Aggressive Approach Over Internet Jurisdiction (Michael Geist),,http://www.michaelgeist.ca/2019/03/the-equustek-effect-how-one-case-has-sparked-canadas-aggressive-approach-over-internet-jurisdiction/
Twitter's Shift Away From GPS-Tagged Tweets Suggests It Will Be Harder To Fight 'Deep Fakes',,https://www.forbes.com/sites/kalevleetaru/2019/03/05/twitters-shift-away-from-gps-tagged-tweets-suggests-it-will-be-harder-to-fight-deep-fakes/
Twitter Unveils ‘Timing Is Everything’ Tool To Help Creators Maximize Video Viewership,,https://www.tubefilter.com/2019/03/06/twitter-timing-is-everything-video-tool/
BlackBerry Continues Its Shameful Descent Into Patent Trolling By Suing Twitter,,https://www.techdirt.com/articles/20190228/17170141697/blackberry-continues-shameful-descent-into-patent-trolling-suing-twitter.shtml
Data Exploiting as an Abuse of Dominance: The German Facebook Decision,,https://www.lexology.com/library/detail.aspx?g=242876ec-4401-4771-80ce-480623c6423e
Facebook faces complaints from more former content moderators in lawsuit: The contract workers say repeated exposure to violent images caused significant psychological harm.,,https://www.cnet.com/news/facebook-faces-complaints-from-more-content-moderators-in-lawsuit/
"Facebook Finally Shuts Down Its Snooping, B.S. 'VPN' After A Full Year Of Complaints",,https://www.techdirt.com/articles/20190222/07283841653/facebook-finally-shuts-down-snooping-bullshit-vpn-after-full-year-complaints.shtml
"In Wake Of Data Scandals, Mark Zuckerberg Lays Out Plan To Transform Facebook Into A “Privacy-Focused Communications Platform”",,https://www.tubefilter.com/2019/03/06/facebook-data-privacy-mark-zuckerberg-living-room-encryption-whatsapp-instagram/
Mark Zuckerberg On Facebook's Future And What Scares Him Most,,https://www.wired.com/story/mark-zuckerberg-facebook-interview-privacy-pivot/
Mark Zuckerberg pivots to privacy,,https://www.getrevue.co/profile/caseynewton/issues/mark-zuckerberg-pivots-to-privacy-164362
